resource_id,tileid,nodegroup,,,,,,,,,,,,,,,,,,,,
--,--,marriage  (n),marriage_number,p107_has_current_or_former_member,,,,,,,,,,,,,,,,,,
4327af10-79a3-44ae-9bc7-5792b065d7a6,,,,,,,,,,,,,,,,,,,,,,
ae38255b-9a79-4ac7-9d07-b0b57ae3f1a2,,,,,,,,,,,,,,,,,,,,,,
2ccd7242-6b53-4e86-81a8-0185bff88f6a,,,,,,,,,,,,,,,,,,,,,,
0dd9726b-4168-4d22-8545-c58e4adff14b,,,,,,,,,,,,,,,,,,,,,,
7db2074a-9c06-41ff-8707-804014b5198b,,,,,,,,,,,,,,,,,,,,,,
2996d614-a92b-44f6-89b9-de89b5dd485b,,,,,,,,,,,,,,,,,,,,,,
d7a1d268-ee19-43b6-adbb-08df196b57b3,,,,,,,,,,,,,,,,,,,,,,
24355ee0-cdcd-4f07-96ae-4c0fd029a8cb,,,,,,,,,,,,,,,,,,,,,,
b8b2f9da-6a7c-4753-9621-eff4559a1ad4,,,,,,,,,,,,,,,,,,,,,,
afb0ef52-0d16-49fd-9493-4f49d2c5baac,,,,,,,,,,,,,,,,,,,,,,
6b8ebdf7-0c6a-4544-8b64-91cb19764d62,,,,,,,,,,,,,,,,,,,,,,
35abadab-91f2-4576-81a5-280393973d9d,,,,,,,,,,,,,,,,,,,,,,
83602aea-cd8b-40fc-9fbf-7f51b4f54dc0,,,,,,,,,,,,,,,,,,,,,,
3039c00f-437d-40a0-bb08-7c3641f31ba4,,,,,,,,,,,,,,,,,,,,,,
75cd7e68-7bfb-4f1f-9c5b-ad4f3a8cc5fb,,,,24042,,,,,,,,,,,,,,,,,,
16a0f6f8-d47b-420d-b311-9386de159f43,,,,,,,,,,,,,,,,,,,,,,
6cbf427a-c711-4350-aedc-ff6270e82574,,,,,,,,,,,,,,,,,,,,,,
b9503b72-761a-433f-8643-2c17d2c29df3,,,,,,,,,,,,,,,,,,,,,,
b1cf4f9e-1370-4c4b-bc8e-75d22851193a,,,,,,,,,,,,,,,,,,,,,,
deddf00f-53cd-4e87-994d-f513fdd14c8b,,,,,,,,,,,,,,,,,,,,,,
57bebff9-1504-4deb-bbe5-54e63fb3919a,,,,,,,,,,,,,,,,,,,,,,
1b5767a9-61e9-4b7b-b329-b76bd3197bfb,,,,,,,,,,,,,,,,,,,,,,
c8af07e1-d9e0-4ec7-9e5b-e20cccdea7e5,,,,,,,,,,,,,,,,,,,,,,
e844a198-d042-4e7e-8d50-01740999b437,,,,,,,,,,,,,,,,,,,,,,
409973dd-da81-4509-8af3-07770c9beb0d,,,,,,,,,,,,,,,,,,,,,,
f4071a23-8e73-4ac1-85ba-8f1a9ac2325a,,,,,,,,,,,,,,,,,,,,,,
