id,family id,parent id,1st last name,2nd last name,first name,middle name,Formalized name,full name,birth_place,occupation,Birth_year,death_year,partner first name,parner 1st last name,partner 2nd last name,partner id,statement,Column1
SP51SP000167,,,Fernández,Valiente,Diego,,Diego  Fernández Valiente,Diego Fernández Valiente,,maritime pilots,0,0,,,,,"vecino de la villa de Palos, maestre de la nao nombrada la Gutierra Pequeña",
SP51SP000219,,,Vallés,,Cristóbal,,Cristóbal  Vallés ,Cristóbal Vallés,,maritime pilots,0,0,,,,,nao Santa Cruz,
SP51SP000238,,,Martín,,Gregorio,,Gregorio  Martín ,Gregorio Martín,,merchants,0,0,,,,,"trader in the indies, mancomun with the centurion",
SP51SP000269,,,González,,Francisco,,Francisco  González ,Francisco González,,maritime pilots,0,0,,,,,"neighbour of the ville of los palos, maestre nao Santa Maria de la Victoria",
SP51SP000272,,,Rodríguez,Chucero,Juan,,Juan  Rodríguez Chucero,Juan Rodríguez Chucero,,,0,0,,,,,neighbour of the ville of los palos,
SP51SP000283,,,Martín,,Francisco,,Francisco  Martín ,Francisco Martín,,navigators,0,0,,,,,"vecino de la villa de los palos, piloto de navio, gives power to the centurion, also known as el mozo",
SP51SP000985,,,Prieto,,Rodrigo,,Rodrigo  Prieto ,Rodrigo Prieto,,maritime pilots,0,0,,,,,maritime pilots,
SP51SP000986,,,Gorda,,Andrés,Martin,Andrés Martin Gorda ,Andrés Martin de la Gorda,,maritime pilots,0,0,,,,,maritime pilots,
SP51SP000987,,,García,Cansino,Andrés,,Andrés  García Cansino,Andrés García Cansino,,maritime pilots,0,0,,,,,maritime pilots,
SP51SP000988,,,Sepúlveda,,Luis,,Luis  Sepúlveda ,Luis de Sepúlveda,,public officers,0,0,,,,,was secretary of the comendador mayor de leon,
SP51SP001069,,,Guecho,,Esteban,,Esteban  Guecho ,Esteban del Guecho,,maritime pilots,0,0,,,,,"neighbour palos, maestre nao santa maria de la rabida",
SP51SP001070,,,Rodríguez,,Diego,,Diego  Rodríguez ,Diego Rodríguez,,Alcalde mayor,0,0,,,,,neighbour Palos,
SP51SP001071,,,Argumedo,,Juan,,Juan  Argumedo ,Juan de Argumedo,,merchants,0,0,,,,,estante española,
SP51SP001072,,,Carrión,,Andrés,,Andrés  Carrión ,Andrés de Carrión,,merchants,0,0,,,,,estante Seville,
SP51SP001073,,,Sánchez,,Juan,,Juan  Sánchez ,Juan Sánchez,,merchants,0,0,,,,,estante Cadiz,
SP51SP001074,,,Carmona,,Alonso,,Alonso  Carmona ,Alonso de Carmona,,spice merchant,0,0,,,,,neighbour seville collacionsan pedro,
