Start date,End date,Name,Number,Note
14780101,14781231,Antonius Iustinianus,7,
14780101,14781231,Carolus Lomelinus,8,
14780101,14781231,Obertus de Goano,"1,1",S
14780101,14781231,Iohannes Salvaigus,"4,1",S
14780101,14781231,Gregorius de Casana,"5,1",S
,, ,,
14790101,14791231,Marcus Cattaneus,1,
14790101,14791231,Iacobus de Amigdola,2,
14790101,14791231,Iohannes de Sancto Salvatore,3,
14790101,14791231,Lucianus de Rocha,4,
14790101,14791231,Iohannes Petrus de Vivaldis,5,
14790101,* 14790331,Franciscus q. Triadani Lomelinus,6,
14790101,14791231,Paulus Maruffus,7,
14790101,14791231,Anfreonus Spinula,8,
* 14790331,14791231,Iohannes Salvaigus,"6,1",S
,, ,,
14800101,14801231,Iohannes Baptista de Sale,1,
14800101,14801231,Paulus de Auria,2,
14800101,14801231,Petrus notarius de Facio,3,
14800101,14801231,Petrus Gentilis Pillavicinus,4,
14800101,14801231,Thomas de Marinis Castanea,5,
14800101,14801231,Iacobus Iustinianus,6,
14800101,14801231,Acelinus Lercarius,7,
14800101,14801231,Pasqual Sauli,8,
,, ,,
14810101,14811231,Henricus de Franchis Tonsus,1,
14810101,14811231,Angelus de Grimaldis Ceba,2,
14810101,14811231,Christopherus de Podio,3,
14810101,14811231,Leonel de Vivaldis,4,
14810101,14811231,Obertus Folieta,5,
14810101,14811231,Balthasar Lomelinus,6,
14810101,14811231,Franciscus Salutius,7,
14810101,14811231,Antonius q. Bartholomei Spinula,8,
,, ,,
14820101,14821231,Baptista q. Bartholomei de Auria,1,
14820101,14821231,Stephanus de Bracellis,2,
14820101,14821231,Ambrosius de Marinis,3,
14820101,14821231,Stephanus q. Iohannis de Monelia,4,
14820101,14821231,Melchion Simonis de Nigrono,5,
14820101,14821231,Dominicus de Prementorio,6,
14820101,14821231,Iohannes q. Andree Gentilis,7,
14820101,14821231,Peregrus Rebuffus,8,
,, ,,
14830101,14831231,Fredericus Cigala,1,
14830101,14831231,Ieronimus de Andoria,2,
14830101,14831231,Philipus de Goano,3,
14830101,14831231,Angelus de Maiollo,4,
14831128,14831231,Ieronimus de Illionibus,5,
14830101,14831231,Benedictus Lercarius,6,
14830101,14831231,Gentilis de Camilla,7,
14830101,14831231,Iohannes Franciscus Spinula,8,
,, ,,
14840101,14841231,Acelinus Cattaneus,1,
14840101,* 14840818,Lodisius de Auria,2,
14840101,14841231,Christoferus de Davania,3,
14840101,14841231,Manuel de Grimaldis Ceba,4,
14840101,* 14840911,Nicolaus de Marco,5,
14840101,14841231,Aleramus Gentilis Pillavicinus,6,
14840101,14841231,Angelus Ihocia,7,
14840101,14841231,Stephanus q. Antonii Iustinianus,8,
* 14840818,14841231,Obertus q. Raph. de Auria,"2,1",S
* 14840911,* 14840911,Paulus Maruffus,"5,1",S
* 14841116,14841231,Gregorius de Casana,"5,2",S
,, ,,
14850101,14851231,Augustinus Caffarotus,1,
14850101,14851231,Raphael de Andoria de Sopranis,2,
14850101,14851231,Iacobus de Casanova,3,
14850101,14851231,Paris de Flisco,4,
14850101,14851231,Filippus q. E. Lomelinus,5,
14850101,14851231,Lucas Pinellus,6,
14850101,14851231,Antonius Sauli,7,
