o:id,name,family,source-name(s),patrilineage,o:loconym,edoa,ldoa,o:gender,o:occuptn,o:nationality,o:spouse,o:parent,o:children,identifier,url,note
23251,Filippo Centurione,Centurione,Filippo Centurione Cantelli | Philipi Centurioni... bancheri[i] | Centuriono domini Filippi,,,1408,1473,44817,26084,31356,,,38527 | 37384 | 23253 | 40670,c2b1a61d-a63a-4a21-ab5e-42d5bfb73a64,http://www.genoesemerchantnetworks.com/s/main/item/23251,"ASCGe, Manoscritti 54, fol. 33r–v: ""Filippo 1433… consigliero 1438, 43, 44, e 46… Partitore 1441… Officiale di Mercanzia 1443… Provisore 1446… Partitore e terzo Gibellino 1449… a cui si scrive 1452… Officiale di Balia, di Mare 1458… Anziano 1460… moderatore di Gabelle 1460… e delle Spese 1462… vista l’Ambasciatore 1462… Officiale di Scio 1463… di Balia 1464… delle Pompe, ed Anziano 1465… e di poi consigliero 1470."""
23290,Filippo Cicala,Cicala,,,,,,44817,,,25664,,23285,6acd8452-3558-4da0-9e84-58e3273075ff,http://www.genoesemerchantnetworks.com/s/main/item/23290,
42328,Filippo Clavaricia,Clavaricia,Filippo Clavarezza quondam Iohannis,Filippo Clavaricia q. Giovanni,,1413,1460,44817,,,,,30165,30ea7f6f-518b-4e7d-882e-c776eb126a9f,http://www.genoesemerchantnetworks.com/s/main/item/42328,"ASCGe, Manoscritti 55, fol. 139: ""Filippo quondam Iohannis e fratello di Adam consigliero popolare Gibellino 1438… partitore 1441… per Macagnana consigliero sopra 1443… partitore 1444… consigliero abitante in contrata Sancti Ambrosii 1444… consigliero mercante Gibellino 1447… vicario di Pietra Santa con titolo egregio 1448… nominato in Giovanni de Luco 1448… dice il suo parere in consiglio 1451… iterum 1452… nominato in Giovanni de Luco 1452, 56… officiale di Sanità 1460… Gabellotto di censarie 1460… come in conventione della Spezza, console delle Caleghe in libro filcorum Ugones Flisce quondam Nicolai."""
43949,Filippo Crispo,Crispo,Filippo Crispo de Pelio quondam Iohannis,Filippo Crispo q. Giovanni,,1447,1472,44817,,42162,,43950,,c2bb17c4-7da3-42a6-a2d0-05019a67125d,http://www.genoesemerchantnetworks.com/s/main/item/43949,
41600,Filippo de Allegro,de Allegro,,,,1338,1397,44817,,,,,41599 | 23058,b52ced45-bbab-4474-a8d8-552c129b48e4,http://www.genoesemerchantnetworks.com/s/main/item/41600,"ASCGe, Manoscritti 55, fol. 25: ""Filippo anziano 1363… consigliero della compagnia Venetorum 1364… Consigliero 1368… in compera 1369… anziano 1370… sua sepoltura in Chiostro di San Siro vista da me 1371… nominato per morto 1381, 84, 97."""
38501,Filippo de Bozzolo,de Bozzolo,Filipo de Bozolo Simonis civi... Ianue | Filipus de Bozollo civis Ianue Simonis | Filippo Bozolo,Filippo de Bozolo q. Simone,,1431,1457,44817,,31356,,38502,,4f67feb1-54f9-4b85-aa6a-d0130467e1bd,http://www.genoesemerchantnetworks.com/s/main/item/38501,
43231,Filippo de Caneto,de Caneto,Philippo de Caneto,,,1449,1474,44817,,,,,,343dca7e-79fc-4b95-ae0a-fb2d4cab40af,http://www.genoesemerchantnetworks.com/s/main/item/43231,"ASCGe, Manoscritti 55, fol. 206: ""Filippo in detto cartulario 1472."""
44280,Filippo de Carmagnola,de Carmagnola,Carmagnola... Filippi,,,,,44817,,,,,30967,037edd5c-f8b9-4aec-bea7-e40385773ec7,http://www.genoesemerchantnetworks.com/s/main/item/44280,
42138,Filippo de Castellana,de Castellana,de Castelana... Philipi,,,,,44817,,,,,42137,43c8e113-b0a4-4d4d-b743-5f7e2673a6bd,http://www.genoesemerchantnetworks.com/s/main/item/42138,
41397,Filippo de Cella,de Cella,de Cella... Philipi | Filippo Cella,,,,1430,44817,,,,,41396,433b82fc-dd15-4147-a507-46d478dc8bb8,http://www.genoesemerchantnetworks.com/s/main/item/41397,"ASCGe, Manoscritti 18, fol. 25v: ""1430 Filippo Cella prese una armatura ad un Forestiero… vedi Federici, che non dice come, o perchè."""
26881,Filippo de Fornari,de Fornari,,,,1409,1435,44817,,,,,,1862b462-2767-4c7a-8589-b736d38e83a3,http://www.genoesemerchantnetworks.com/s/main/item/26881,
43482,Filippo de Franchi,de Franchi,de Franchis Figono... Philipi | Filippo de Franchi olim Figone quondam Raffaele,Filippo de Franchi q. Raffaele,,1411,1442,44817,,31356,,,43481,a1cf5c36-5db5-49e1-9bf7-4baf904db67b,http://www.genoesemerchantnetworks.com/s/main/item/43482,"ASCGe, Manoscritti 26, fol. 401: ""1436 e 42 Filippo de Franchi olim Figone quondam Raffaele fu antiano… sua moglie Tobia figlia di Battista de Franchi olim Luxardo."""
41362,Filippo de Mari,de Mari,Philippi de Mari,,,1434,1459,44817,,,,,,08ca6a96-d664-49e1-aae5-36d5e0210826,http://www.genoesemerchantnetworks.com/s/main/item/41362,
25299,Filippo de Marini,de Marini,,Filippo de Marini q. Montano de,,,,44817,,,,25319,25283,799f6182-10bb-4353-ae8c-087545ed2baa,http://www.genoesemerchantnetworks.com/s/main/item/25299,
25300,Filippo de Marini,de Marini,Philippus de Marinis quondam Philippi civis Ianue | Philippo de Marinis quondam Philippi... civ[e] Ianue,Filippo de Marini q. Filippo,,1436,1474,44817,,31356,24813,25301,,768ec8b6-b57d-4ccd-aef6-a46f6a2a4089,http://www.genoesemerchantnetworks.com/s/main/item/25300,"ASCGe, Manoscritti 54, fol. 172r: ""Filippo nobile Guelfo 1472."""
25301,Filippo de Marini,de Marini,,,,1381,1406,44817,,,,,31059 | 25300,343e0141-68e1-422f-8acd-0c30f1131cf3,http://www.genoesemerchantnetworks.com/s/main/item/25301,"ASCGe, Manoscritti 54, fol. 127r: ""Filippo genero di Luiggi Doria in sagristia di San Domenico 1405… anziano 1406… consigliero 1406… sua figlia Argenta moglie di Ianotto Salvago 1453."""
44909,Filippo de Sarzana,de Sarzana,de Sarzana... Filipi | Philippus de Sarzana,,27523,1438,1458,44817,,,,,30216,09aeb99e-f6ce-4401-b84a-6198134063ea,http://www.genoesemerchantnetworks.com/s/main/item/44909,
26883,Filippo de Sarzano,de Sarzano,Filipus de Sarzano civis Ianue Petri,,,1423-10-08,1448-10-08,44817,,,,27391,,6348a6bc-1edc-4e3a-8e4a-25c273e6bf58,http://www.genoesemerchantnetworks.com/s/main/item/26883,
40694,Filippo de Turrilia,de Turrilia,Torriglia Filippo fornara | de Turrilia... Philipi,,,1403,1466,44817,27694,,,,26587,e3b95629-f1da-49b0-8708-d4d942024e11,http://www.genoesemerchantnetworks.com/s/main/item/40694,"See Indice famiglie VI, fol. 265_0, XV, fol. 397v."
40876,Filippo de Zurlis,de Zurlis,Philipo de Surli tabernario quondam Iohannis... civ[e] et habitator[e] Ianue,Filippo de Zurlis q. Giovanni,,1402-12-31,1464-01-01,44817,26437,31356 | 42136,,40877,44614,fb3a6f44-8699-4deb-b9e2-c1a12c537bd8,http://www.genoesemerchantnetworks.com/s/main/item/40876,"ASCGe, Manoscritti 56, fol. 321: ""Filippo tavernaro, anziano 1427, 31… in populari come in quinterno U, partitor 1434… in focaggi 1461, 64… detto Iacobo Filippo in trascritto."""
25394,Filippo di Negro,di Negro,Filippino di Negro,,,,,44817,,,,,25395,0412abc1-0a89-4e29-a31e-56c46ddecbcc,http://www.genoesemerchantnetworks.com/s/main/item/25394,
42964,Filippo di Negro,di Negro,Philipo de Nigro quondam domini Andree civ[e] Ianue,Filippo di Negro q. Andrea,,1444,1482,44817,,31356,,42965,,bb9d3b88-1ec1-4eb9-98a4-c1cc448ac18a,http://www.genoesemerchantnetworks.com/s/main/item/42964,
