o:id,identifier,o:spouse
24651,67aec133-e8f8-4838-a2a2-a4e17d709a8c,23220
24439,1cf1a645-d07e-4758-840d-69cab6296c6a,23222
39609,b8c4ae84-639c-4e89-a01d-563ea48f4343,23224
24042,08006309-e45d-4d53-863b-3f706de92d8f,23236
24642,658cf546-7cc9-4511-bae5-96fb4421ae1a,23237
25706,d64852dd-80a1-4c47-9124-06cb9ab2fdfb,23242
24878,c8c05479-0cdd-4c48-9360-f417e3b79d8d,23242
24257,c3d2715b-db44-4727-86d2-fdd9cddf9391,23243
24250,4a8a3a97-2b1a-465e-9132-cefc5a52e7d1,23244
25040,4373b208-74b4-4085-be68-e10b2e3c5be9,23245
31061,d378a410-a097-4aec-aca1-bf91a666aa83,23246
24302,13d8f601-0486-4522-96cd-c10275546538,23249
24189,eb1c601d-7897-4fc0-9978-e3ede79af451,23250
25070,b6f1d356-2152-4d20-b125-65ba0720228d,23252
24336,7d7b2135-3d0a-4070-92b5-bfbb852804b1,23253
25021,915b8e3d-86c2-431e-b016-0635f730435d,23256
24204,5dbd7872-ba51-4163-b820-e5132a99c9e2,23257
23916,9ceecfb5-45fe-4624-98de-111417fe6d65,23258
24641,9df10f42-18c5-4b7c-8495-19af347d39a6,23261
25014,69fcfb4c-f3c9-42ca-ad98-f1ecb71a74e0,23262
24034,d45c590b-8a0a-4ad9-b3b7-75a6208c52b2,23263
24354,cd732e83-9fb9-4b0b-8827-54db46d5831c,23264
24991,514a2f71-5631-440a-8855-8d7054726cfd,23266
25114,6816cb1c-3c7a-4c3e-95ee-5d9794276e9d,23268
24192,00f58443-7d4d-42a4-8028-087af08771d7,23270
23941,cdff68fa-95f4-4e17-ae2a-f6d99ff0fc6b,23272
25199,fc244078-3458-40c3-a73f-618f314901f0,23275
25068,ed751e0b-6596-4dc1-87f5-45d04a46afdf,23278
24646,72d211a6-2e45-42e4-aa97-e9cf2b875908,23280
24618,b62f3d56-d130-42c8-817d-246c5cd6c3cc,23281
42037,86e35d35-6979-4be4-bbcf-1af80272a224,23282
24865,16fae15a-2b9b-4db8-a9f2-44e3290bdfb4,23283
25664,cd636718-f237-4852-9411-508c57064e03,23290
